No.,Funding Programme,Local Authority,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,SHIP CONSTRUCTION,Tipperary,Templetouhy,6,*N/A,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,12,*N/A,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Tipperary,"Killeanaule Road, Fethard",10,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Abbey Street, Cahir",11,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,Borrisokane,16,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Portroe, Nenagh",18,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,Cloughjordan,2,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",26,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Tipperary,"Gortataggart, Thurles",2,*N/A,,,"Stage 3 approved in Q4-2015, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Tipperary,"Kilcooly Way, Gortnahoe",5,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",3,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,Tipperary,"Mitchel St., Thurles",1,*N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Glencarrick, Roscrea",30,*N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,2,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Tipperary,Lower Ballingarry,1,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Tipperary,"Poulamaleen, Faugheen",1,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Tipperary,"Cormack Drive, Nenagh",19,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",1,*N/A,,,,,,Q3-2017
,CAS CONSTRUCTION,Tipperary,"Ballinagrana, Carrick on Suir",3,Camphill Communities of Ireland,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Tipperary,"Castle Street, Carrick on Suir",1,Camphill Communities of Ireland,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Tipperary,"The Strand, Carrick on Suir",3,Camphill Communities of Ireland,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Tipperary,Fethard,4,Belmont Park Housing Association Ltd,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",9,Cluid Housing Association,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Tipperary,"Stanwix House, Kickham Street, Thurles",19,Thurles Lions Trust Housing Assoc.,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,CALF CONSTRUCTION TURNKEY,Tipperary,"Ashgrove, Monadreen, Thurles, Co Tipperary ",19,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q4-2017 ,,
,CALF CONSTRUCTION,Tipperary,"Ashbury, Roscrea",12,Cluid Housing Association,,,,,,Q2-2017
,SHIP CONSTRUCTION TURNKEY,Waterford,"Kilrush, Dungarvan",39,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION TURNKEY,Waterford,"Gibbethill, Gracedieu",5,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION TURNKEY,Waterford,"Carrickphierish, Gracedieu, Waterford",31,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Waterford,"Shandon, Dungarvan",5,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Waterford,"Airport Road, Waterford City",33,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Waterford,"An Garran, Crobally Upper, Tramore",50,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Waterford,"Alms Houses, Tallow",4,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Waterford,"Ballinroad, Dungarvan",21,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Waterford,"Barrack Street, Cappoquin",4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Waterford,"Coolfin Woods, Portlaw",12,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Waterford,"Larchville, Waterford City",5,*N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Waterford,"Patrick Street, Tramore",2,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Waterford,"Doyle Street, Waterford City",4,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Waterford,"Old Cinema Site, Dungarvan",15,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Waterford,"Lower Yellow Road, Waterford",8,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Waterford,"The Glen, Bridge St, Waterford",11,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Waterford,"Clarendon Court, Penrose Lane, Waterford",24,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Waterford,"Convent Hill, Tramore",10,Society of Saint Vincent de Paul,,,,,,Q1-2017
,CAS CONSTRUCTION,Waterford,"Powersfield, Hennessys Road, Waterford",3,Focus Ireland,,,,,Q4-2017,
,CAS CONSTRUCTION,Waterford,"Wadding Manor, Ferrybank",10,Respond,,,,,Q4-2017,
,CAS CONSTRUCTION,Waterford,"Gleann Ealach, Dunhill",8,Gleann Ealach Housing Association,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Waterford,"Ballycarnane, Tramore",18,Tramore Voluntary Housing Association,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Waterford,"The Paddocks, Williamstown Rd. Waterford",4,Anvers Housing Association Ltd,,,,,Q4-2017,
,CALF CONSTRUCTION TURNKEY,Waterford,"Estuary Heights, Shandon Road, Dungarvan",20,Co-operative Housing Ireland,,,,,Q1-2017,
,CALF CONSTRUCTION,Waterford,"St Johns College, Waterford",36,Respond!,,,,,,Q1-2016
,SHIP CONSTRUCTION TURNKEY,Westmeath,"Belvedere Hills, Mullingar",21,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Westmeath,"St. Laurence's Terrace, Mullingar",9,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Westmeath,16 Ennell Court,1,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Westmeath,"Clonbrusk, Athlone (Arcadia) - Site No. 2",33,*N/A,,,"Stage 3 approved in Q2-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Westmeath,Ennell Court (Phase 2),3,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Westmeath,"Grange Crescent, Mullingar",2,*N/A,,,,,,Q1-2016
,SHIP CONSTRUCTION,Westmeath,Ennell Court (Phase 3),32,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Westmeath,"Cloghanboy, Athlone",10,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Westmeath,"Bishopsgate, Mullingar",4,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Westmeath,"Farran, Mullingar",4,Túath Housing Association,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,CALF CONSTRUCTION TURNKEY,Westmeath,"Rahanine, Rochfortbridge, Co Westmeath*",12,Túath Housing Association,,,,Scheme approved for CALF funding Q4-2017 ,,
,CALF CONSTRUCTION TURNKEY,Westmeath,"Cluain Mullen, Castlepollard",2,Túath Housing Association,,,,,,Q2-2017
,SHIP CONSTRUCTION TURNKEY,Wexford,"Madeira Oaks, Wexford",8,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin (Phase 1), Ballytegan Road, Gorey",8,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin (Phase 2), Ballytegan Road, Gorey",14,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",35,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,"Belvedere Road, Wexford",7,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,"SN Castlemoyle, New Ross",1,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wexford,"King Street, Wexford",3,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,"Cloghultagh, Taghmon",18,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Wexford,"Carricklawn, Coolcots, Wexford",14,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Wexford,"Coolcotts, Clonard",7,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Wexford,"Creagh, Gorey",10,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Wexford,Danescastle,12,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Wexford,"Slippery Green, Wexford",10,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Wexford,"Whiterock Hill, Wexford",45,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wexford,Cois Mara,2,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Wexford,"Killeens, Wexford",34,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wexford,Oylegate,2,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,Wexford,"Cherryorchard, Enniscorthy",8,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Wexford,"Clonard, Wexford",26,*N/A,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,"Ross Road, Enniscorthy",1,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Wexford,"Baile Eoghain, Gorey",9,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Wexford,"Baile an Tr , Riverchapel (Courtown Ardamine)",10,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Wexford,"Shanna Court, Coolcotts",8,*N/A,,,,,,Q1-2016
,SHIP CONSTRUCTION,Wexford,"Francis Street, Wexford",1,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION,Wexford,Commodore Barry,1,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Wexford,"Glentire, The Ballagh, Enniscorthy",6,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,"Ballywish, Castlebridge",11,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,"Rosetown, Rosslare, Co Wexford",43,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,"Carley's Bridge, Enniscorthy, Co Wexford",17,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Wexford,Barrystown,16,Grantstown Voluntary Housing Association Ltd,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Wexford,"Westlands, Wexford",7,Respond,,,,,Q4-2017,
,CAS CONSTRUCTION,Wexford,Rathangan,7,Rathangan Senior Citizens Housing Association Ltd,,,,,,Q3-2017
,CALF CONSTRUCTION TURNKEY,Wexford,Enniscorthy,40,Oaklee Housing Trust,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Wexford,Wexford,28,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q4-2016,,
,CALF CONSTRUCTION TURNKEY,Wexford," Hunters Green, Gorey - Phase 1",18,Co operative Ireland,,,,,,Q2-2016
,CALF CONSTRUCTION TURNKEY,Wexford,"Hunters Green, Gorey - Phase 2",11,Co operative Ireland,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Wexford,"Ballyboggan, Castlebridge",10,Co-operative Housing Ireland,,,,,Q4-2017,
,CALF CONSTRUCTION TURNKEY,Wexford,"Hunters Green, Gorey - Phase 3",9,Co operative Ireland,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford*",6,Túath Housing Association,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Wexford,"6 units Ard uisce, Whiterock, Wexford ",6,Túath Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION TURNKEY,Wexford,"5 units Ard Uisce, Whiterock",5,Túath Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Wexford,"1 unit Ard Uisce, Whiterock, Wexford",1,Túath Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION,Wexford,Meadowfields ,12,Co operative Ireland,,,,,,Q3-2016
,SHIP CONSTRUCTION TURNKEY,Wicklow,"Mill Court, Tinahely",4,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 3)",21,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wicklow,"10A Castle Villas, Greystones",1,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Wicklow,"Ard Na Mara, Kilcoole",2,*N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Wicklow,"Druids Brook, Kilcoole",2,*N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 1)",17,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 2)",26,*N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wicklow,"FCA Hall, Wicklow Town",8,*N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wicklow,"Kilmantain Place, Bray",4,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wicklow,"O'Byrne Road, Bray",1,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Wicklow,"Old Library, Arklow",7,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Wicklow,"Sugarloaf View, Kilmacanogue",20,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wicklow,"Avondale Heights, Rathdrum (Phase 2)",20,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Wicklow,"Kilbride Lane, Bray (Murphy's Lands)",42,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Wicklow,"16A Oak Drive, Blessington",1,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Wicklow,"Carrig Eden,1 Marine Road, Greystones",30,*N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Wicklow,"Farrankelly, Greystones (Phase 2)",24,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Wicklow,Convent Lands,51,*N/A,,,Q1 2018,,,
,CAS CONSTRUCTION,Wicklow,"Lathaleer, Baltinglass",5,KARE Promoting Inclusion for People with Intellectual Disabilities,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CALF CONSTRUCTION TURNKEY,Wicklow,"Bollarney North, Wicklow Town, Wicklow",32,Túath Housing Association,,,,Scheme approved for CALF Funding Q3-2017,,
,CALF CONSTRUCTION TURNKEY,Wicklow,"The Meadows, Ballynerrin, Wicklow Town",7,Túath Housing Association,,,,Scheme approved for CALF Funding Q4-2017,,
,CALF CONSTRUCTION TURNKEY,Wicklow,"Abbey St, Wicklow",6,Túath Housing Association,,,,,Q2-2017,
,CALF CONSTRUCTION TURNKEY,Wicklow,"Vale Road, Arklow, Co.  Wicklow",34,Co-operative Housing Ireland,,,,Scheme approved for CALF Funding Q1-2018,,
,CALF CONSTRUCTION TURNKEY,Wicklow,"Glenheron, Greystones, Co.  Wicklow",5,Túath Housing Association,,,,Scheme approved for CALF Funding Q1-2018,,
,CALF CONSTRUCTION,Wicklow,"St Ernan's View, Merrymeeting, Rathnew",45,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2018 ,,
